Date,Volume,AHT,Call_Type,City,Language,Channel
2023-01-01,520,285,Inbound,New York,English,Phone
2023-01-02,485,310,Outbound,Los Angeles,Spanish,Chat
2023-01-03,510,295,Inbound,Chicago,English,Email
2023-01-04,545,280,Transfer,Houston,French,Phone
2023-01-05,590,305,Inbound,New York,English,Chat
2023-01-06,620,275,Outbound,Los Angeles,Spanish,Phone
2023-01-07,580,290,Inbound,Chicago,English,Email
2023-01-08,505,315,Transfer,Houston,French,Chat
2023-01-09,495,285,Inbound,New York,English,Phone
2023-01-10,520,300,Outbound,Los Angeles,Spanish,Email
2023-01-11,535,270,Inbound,Chicago,English,Chat
2023-01-12,560,310,Transfer,Houston,French,Phone
2023-01-13,610,285,Inbound,New York,English,Email
2023-01-14,640,295,Outbound,Los Angeles,Spanish,Phone
2023-01-15,595,280,Inbound,Chicago,English,Chat
2023-01-16,510,305,Transfer,Houston,French,Email
2023-01-17,480,290,Inbound,New York,English,Phone
2023-01-18,505,275,Outbound,Los Angeles,Spanish,Chat
2023-01-19,530,310,Inbound,Chicago,English,Email
2023-01-20,555,285,Transfer,Houston,French,Phone
2023-01-21,600,295,Inbound,New York,English,Chat
2023-01-22,625,280,Outbound,Los Angeles,Spanish,Phone
2023-01-23,580,305,Inbound,Chicago,English,Email
2023-01-24,495,290,Transfer,Houston,French,Chat
2023-01-25,475,285,Inbound,New York,English,Phone
2023-01-26,510,300,Outbound,Los Angeles,Spanish,Email
2023-01-27,540,270,Inbound,Chicago,English,Chat
2023-01-28,570,315,Transfer,Houston,French,Phone
2023-01-29,615,285,Inbound,New York,English,Email
2023-01-30,645,295,Outbound,Los Angeles,Spanish,Phone
2023-01-31,600,280,Inbound,Chicago,English,Chat
2023-02-01,515,305,Transfer,Houston,French,Email
2023-02-02,485,290,Inbound,New York,English,Phone
2023-02-03,510,275,Outbound,Los Angeles,Spanish,Chat
2023-02-04,535,310,Inbound,Chicago,English,Email
2023-02-05,560,285,Transfer,Houston,French,Phone
2023-02-06,605,295,Inbound,New York,English,Chat
2023-02-07,630,280,Outbound,Los Angeles,Spanish,Phone
2023-02-08,585,305,Inbound,Chicago,English,Email
2023-02-09,500,290,Transfer,Houston,French,Chat
2023-02-10,480,285,Inbound,New York,English,Phone
2023-02-11,515,300,Outbound,Los Angeles,Spanish,Email
2023-02-12,545,270,Inbound,Chicago,English,Chat
2023-02-13,575,315,Transfer,Houston,French,Phone
2023-02-14,620,285,Inbound,New York,English,Email
2023-02-15,650,295,Outbound,Los Angeles,Spanish,Phone
2023-02-16,605,280,Inbound,Chicago,English,Chat
2023-02-17,520,305,Transfer,Houston,French,Email
2023-02-18,490,290,Inbound,New York,English,Phone
2023-02-19,515,275,Outbound,Los Angeles,Spanish,Chat
2023-02-20,540,310,Inbound,Chicago,English,Email
2023-02-21,565,285,Transfer,Houston,French,Phone
2023-02-22,610,295,Inbound,New York,English,Chat
2023-02-23,635,280,Outbound,Los Angeles,Spanish,Phone
2023-02-24,590,305,Inbound,Chicago,English,Email
2023-02-25,505,290,Transfer,Houston,French,Chat
2023-02-26,485,285,Inbound,New York,English,Phone
2023-02-27,520,300,Outbound,Los Angeles,Spanish,Email
2023-02-28,550,270,Inbound,Chicago,English,Chat
2023-03-01,580,315,Transfer,Houston,French,Phone
2023-03-02,625,285,Inbound,New York,English,Email
2023-03-03,655,295,Outbound,Los Angeles,Spanish,Phone
2023-03-04,610,280,Inbound,Chicago,English,Chat
2023-03-05,525,305,Transfer,Houston,French,Email
2023-03-06,495,290,Inbound,New York,English,Phone
2023-03-07,520,275,Outbound,Los Angeles,Spanish,Chat
2023-03-08,545,310,Inbound,Chicago,English,Email
2023-03-09,570,285,Transfer,Houston,French,Phone
2023-03-10,615,295,Inbound,New York,English,Chat
2023-03-11,640,280,Outbound,Los Angeles,Spanish,Phone
2023-03-12,595,305,Inbound,Chicago,English,Email
2023-03-13,510,290,Transfer,Houston,French,Chat
2023-03-14,490,285,Inbound,New York,English,Phone
2023-03-15,525,300,Outbound,Los Angeles,Spanish,Email
